Title,Price,OriginalPrice,Url,PriceDecimal,OriginalPriceDecimal,DiscountPercent,BatchGroup
"Celular Samsung Galaxy A07 256gb, 8gb, Câmera 50mp, Tela 6.7 , Proteção Ip54, Processador 6nm - Preto",1.799,1.799,https://www.mercadolivre.com.br/celular-samsung-galaxy-a07-256gb-8gb-cmera-50mp-tela-67-proteco-ip54-processador-6nm-preto/p/MLB54961556#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=11&type=product&tracking_id=02e8f73c-cf7e-4ffb-9c9a-2c022532f5e7&wid=MLB6310252750&sid=search,1799,1799,0,0
"Smartphone Galaxy A07, 128gb, Tela 6.7 , Verde Verde",899,899,https://www.mercadolivre.com.br/smartphone-galaxy-a07-128gb-tela-67-verde-verde/p/MLB66446758#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=12&type=product&tracking_id=02e8f73c-cf7e-4ffb-9c9a-2c022532f5e7&wid=MLB6589053442&sid=search,899,899,0,0
Celular Para Idosos Nokia 110 4G 128mb preto 48mb RAM,163,,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=1rrrttR0DR3A7cIvynFz2qVz8hzJtV03QacOv3zcoKiSITx%2FkUiK%2FDTcEglYbJ7mkt0L5bJEYY5ofKQIamMKEiJ52AawlFmUWrNmnS81NGV6Zs%2FXXzj%2FpXMzYbVl52rqxT%2FbY%2BauK67iNJKUXNtsJggXMM9bX3mzA3davBC3cSXVAGmU6hEmIgMgQ2A%2FRUb5Q8g7%2B42X6e2cOccLD%2BnJRmRtR1aAExB780CivloevlZBLZ%2FWhsYCKRVHsWxB2Y%2Fakeiu4Xoll97my%2B9kirW%2Bj9Rc4e8F6T1SrdC4K%2FQduncGLsky9k7R9eeP6vRjEMBPnE%2BWLZNtZYSXG6Uxm%2FFhUqUiUIy1QqPPZsT3ljFMwdqFMa20%2F%2BO0lINJTVigTzW1sAx%2ButlT7FfT7rW6mpmeiSNlgmoU7zwle%2Bgr%2FNfTohV0nOcEDfEIwN0tbriyTJlSsgdGrJjGe7DAMNthAqmKUL3%2B7uwDMUJhOjXFjSEDNWZmt4vGHT0ZThOzF53YpC4oY04fSab6v3TTaQy9KtQfcvmEZIwwYO3ciNCY4q6qXwC3q0cVAffnXZ06k%2FwsLC8jrtFAoA5mtUhyDXZ09cyDu54VOgqTSwz7KPTiEZB50ljlk5gdWBkH%2Be5AnkYtDO5Xiv2ZvkQ1W5TkpTjn1K7c3IoEFsP6I35AOm88bBKzGoqxDG9Gg135BHPQJZIFBFr7fHdYIS7KkW6FWcZ79PmrA53%2B7UXj9h9SJOOlJTsnH8VdvqORz9tVv6YfuEQdnDqqaDSQhprwTWHkO5oYaUYpRzfo67O7I8QWCJy229VyJGlxyXJS8RTmn2KXoy3n6fhPR2oA%2FfgHY1a843RH6rXeVK7qSLjbn%2F3%2Bt0MphXo75fWszSJi6EuAMN0IsNED9DglZwWlqzJcwlM%2FzR2RYM51TM1WJZXaan11Ga00c76ExL6v3akp1hSEcRoaj9sTOfbP4YzGBrR4%2B9sfDDhwBMo8b6cmNkOM&pdp_filters=item_id%3AMLB6544800430#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB19473366&backend_model=search-backend&be_origin=backend&search_layout=grid&position=13&type=pad&tracking_id=02e8f73c-cf7e-4ffb-9c9a-2c022532f5e7&wid=MLB6544800430&sid=search,163,0,0,0
"Smartphone OPPO A6t 128gb, 12gb Ram (4gb + 8gb Virtual Ram), Bateria Gigante de 6500mAh, Processador Snapdragon, Tela 120Hz, AI Câmera, IP64 - Violeta",1.299,1.299,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=gMlAgcmQYOxFt0hqNOLjj0Kt78S5P%2FL9qOZghHDGbRlx4HqZ4H%2BIeA1vbYEnK09fTa%2BevfvinTrNT84ud0OlksSmjCRd3vVbyyFUAq0pLBafn3snUbMsgkXF3lAZ9u2rAzAhFbBnP9MiA2ajHOBaWv%2FZsrYQQkuRLuKnLytjBmuXKuDFCDyuVplauNpFbuVKSBgZSeLRZt4swYVskdB7oDTjT4aNNZPyntzYWA77F0rrCc%2B4ZkDpnNX0Ju5ynUh8OHpPn%2Bpx1Jbacp9veZDAVNKl%2BvaXtAlCCBCQwvQu7qBznymkQ7GjVple7hp45v0vjqIo%2FqOc5sZxPxg3p0h3yw3WByn8cOBdRoVIEjmCtQ4mmc1nTUBczCv1dE6z0WESvgbJ2yIT5x0UMOQnoQJSk1rjUIxuUgpznk6bxWr35t9BWeHX0pJ8PyFcsTV3OPVQ0IVmmtO5G5kaUNijqBL4nUPTBt9OXwl5KXEzKXCsFbra%2FYpysPKyeUnTTHLbmtUSlL3K6xhw%2Bdl3FM6dRl1M2N%2BLLq4Se0jrBQcmOvcpThEAcb54dKeRAYDmTPTOwFEqb7Pyc0574evt5%2FrRlQmI58z3S7nVkoP6pos%2FchT9nUaOLH2ncmboEor6zAsfJweAzuhkjhGQ6uxwszVwr3ERrhCFfqVEhnou3m4SLcyacQruzAYr%2FilkCYyhcPlQ%2Fbq%2FBrJgMCdidkkImoqQ3DWOJKIu1FlmUzkw33vOmY6TTiUdeGqiLJhOCvMlvDCedOSl1XiWwBx0lwq1cUARZiB1ZQd72zlXKyxv7VNeh4zSob1RmrXDiSoJ1yTWWv1OVieMVV09GAqR1OOfzqZTslMfraFH%2FsQcnLX6PzxRSOeVy2LmENc4Y39m10FYVocYBp2asLSul28jx0X7J7zGnLcFoLIaQzXaFoL1ddwdQgFi0z0eYY34Yilj5V0%2FnCbN2Tf32F8F3zFaKOXXC9uAn1YPe6IYPTwLsjALcuQWls4PyW0yn3EpSUEHMxhMtaoDZBRxdBJj1djvXTAnv6VspZVjvVzuUhdPdBRUxwqHzh%2FxuD2lUwM9x2juiQEqq4xtF3x40B7qz2Y0fE0%3D&pdp_filters=item_id%3AMLB4573343865#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB66130734&backend_model=search-backend&be_origin=backend&search_layout=grid&position=14&type=pad&tracking_id=02e8f73c-cf7e-4ffb-9c9a-2c022532f5e7&wid=MLB4573343865&sid=search,1299,1299,0,0
Apple Iphone 14 (128 Gb) Novo + Acessórios,3.985,,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=XMx6n7od3wy0aXOht3TtxOcL7i7E9%2BDVi2uB7Pxij9SUynLlxZdbVo2Bz3J9IDNvhE1JsibSxHrcNzBLV%2BC8zwYT0Mo%2F7cGZMZAxMac9eABJxkhNsKe3GBE2netjxsIIJXeS%2FDCHtmzjU9iCfJrga9BwDmPUassKghOwKNKILQrl3e7a9m1a2GqGLEZChODzp6lNxa6HXgmHbDO70pd7V7cBB5QwbTtoh06kIoScwUTfUG7EYCgUgunk3iEmZ3ue7b32o2TNXTO4hEQpW8AKWqtrekReryl1hfX%2B3AH41uY6IcjXBhF%2FZ2umnvXHuLA%2BdvrAIev5aYCn54BYx2f9cHdRvM2JVR2lRoFpv%2FA%2Ftq86XAQcuo%2Bdr7YYMyCtAzEvjRB5ha8EXkGSPm%2B6c%2BllBKQIaUHn7l46E8GNAsDw9E8wReOtSjXsdPrt5wNDlBx%2FG4qQL2uclxcV%2Fz7%2F7SL9XQ1XSr8PaWG3kCgXGtnuzSnDCrUJcC806uf7OqfDsVwGOJS2mr%2FCNRN%2FQ89urFfErTmKEHCGMvxPx57wSDziLiqMibci6%2FyHtso0dQERtRsoJrXmMWsv36dpSS6yjyzRFic%2BDZ1rY8LiNIQuLcAytQ88gIa57jiB004n1felVismOPdtMfgSrb2sqUV2z615gx89zl4ZXAkfHGCgCZm3GY9LdO%2B%2F6D8cKf%2BcqHjpKb5n8eZxg9n7fQXt3M5A3OX8APnP5QvKOOxw2CihRUk1Mnumcgr7KFVFBqXMxay4gk5g1Fb4YWM34d7uxWkp4VE4RIC3GaqDdvMp0trfJS0Pejs63vZYmQXc9XfdZN442hDg2IxSZGTIj870PJUL7M2OiGeCCLROBx2Opq6r9TmkX5bP8jByrlgN2dYAHEApc3%2F8mJRATx2sA50%2BjLcGTPQR%2B%2FSOFlOMLX5gAdGjrxCKQMP8ofRJDH9QKMOK41e8YhrAB0EdVwjv3vVF2WKlBqg%3D&pdp_filters=item_id%3AMLB4379690929#polycard_client=search-desktop&is_advertising=true&searchVariation=MLBU3696132380&backend_model=search-backend&be_origin=backend&search_layout=grid&position=15&type=pad&tracking_id=02e8f73c-cf7e-4ffb-9c9a-2c022532f5e7&wid=MLB4379690929&sid=search,3985,0,0,0
Kit Jovi: Jovi V70 256gb Azul Safira + Jovi Buds Air3,3.269,,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=NzMZRdZK3q%2BtIO7xX%2Byqu6NmClMFLx4J%2BQXhscIwJVkx0aBxUaq0PvNlE6r0%2FtshnO63TxYSO8z6mpoyMF7KByZ8ujiWbEU8cTmaAY7DCte%2B918nLuHR5aLHWR54F0OYWQh9IvP%2F12P%2Ba02kHDeH3aDpvlFT78PJ3cvfMqxQGwrZVeITY9yALfpmciPnBYnU34Ynb0WAGs5OW01mGH7BRFpQcD5SNwVc4jPgJ%2F%2FpZuSv8WOXtiM6NPzDpw3l50P1ZCB3QhCY1sSlRAvmhsDJyQRGyvN05JVfBG6k%2BtER%2FUrVBR66VmL6GbXyvGxpTWsStjGX%2FT30U2AH6a9%2Bvh1RYA%2BQBo7DH8V75FkqVhmxQN59z2F4%2BM5OdraW%2FsFL1yrOfIDOV0DZh2JEYUU2nQYnnw9GQJWcTp7bjdwWzI%2FXSjjRt1P0fzn9Oq4YHFERA4Dm%2BJzQNy9s%2Fm3HCwNHvAVjdjiZJjOpKDZvJC5mXF4vQvS3NsgjHhCy31WBwzUVdIKfhssqf9s%2BfwihoPhwT1Wq1fy0JVOp%2BxepC0hLrlsfKzmAMbFFXbknOKdc1xjwcFATZPE9zvvo4YdyQu5wxbEAE%2FnS5Y5eVuep4c5MLrv1VbRsQTtdCm0n8vnNdYVIcnm%2F6dp4Otn4rXm1sdAAyMX%2Fmu0KGJuKviQDTdqwH%2Brtef4Uobg5k7Dkeju%2FkdjG3XQ2AnYP49D6W9r7cZM%2FqxwUCjamq7%2BJnPRDvW9W122MF6oABtnmtt4IlMC%2BtIDbWVWEwxNqCQ9D2pPrTH6g8JDG3k8HWeWYMGWLKSX2fF%2BoTLahEf4CZL35BelgV8lIVpvs29dO%2B2tikJEXmtserNiiZ9hcEEWbMrCC%2BmSOeu5CcRgKFWINNbR%2F8sV%2B9Tp4VUb0rDBirQT6jlTdKDTwjPDn9ynLr2pJyfgRIIdjKdpGIfIkZOO4z2QTXT3o2ULlgbHVzPOogCUOa6k7uy52iIYDPT2HOVCiwdIVXZ5x&pdp_filters=item_id%3AMLB6624505648#polycard_client=search-desktop&is_advertising=true&searchVariation=MLBU3909093126&backend_model=search-backend&be_origin=backend&search_layout=grid&position=16&type=pad&tracking_id=02e8f73c-cf7e-4ffb-9c9a-2c022532f5e7&wid=MLB6624505648&sid=search,3269,0,0,0
iPhone 16e (128 GB) - Preto - Distribuidor Autorizado,5.799,5.799,https://www.mercadolivre.com.br/iphone-16e-128-gb-preto-distribuidor-autorizado/p/MLB1046215784#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=17&type=product&tracking_id=02e8f73c-cf7e-4ffb-9c9a-2c022532f5e7&wid=MLB3986439067&sid=search,5799,5799,0,0
"Celular Samsung Galaxy A07 128gb, 4gb, Câmera 50mp, Tela 6.7 , Proteção Ip54, Processador 6nm - Verde",899,899,https://www.mercadolivre.com.br/celular-samsung-galaxy-a07-128gb-4gb-cmera-50mp-tela-67-proteco-ip54-processador-6nm-verde/p/MLB55027908#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=18&type=product&tracking_id=02e8f73c-cf7e-4ffb-9c9a-2c022532f5e7&wid=MLB4276106547&sid=search,899,899,0,0
Smartphone Motorola Moto G06 - 256gb 12gb (4gb Ram + 8gb Ram Boost) E Camera 50mp Com Ai Bateria De 5200 Mah Tela 6.9 - Verde,1.349,1.349,https://www.mercadolivre.com.br/smartphone-motorola-moto-g06-256gb-12gb-4gb-ram-8gb-ram-boost-e-camera-50mp-com-ai-bateria-de-5200-mah-tela-69-verde/p/MLB55762050#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=19&type=product&tracking_id=02e8f73c-cf7e-4ffb-9c9a-2c022532f5e7&wid=MLB5820442502&sid=search,1349,1349,0,0
Celular Smartphone Realme C73 128gb 4gb Ram Dual Sim 120hz 6000mAh Verde,1.299,1.299,https://www.mercadolivre.com.br/celular-smartphone-realme-c73-128gb-4gb-ram-dual-sim-120hz-6000mah-verde/p/MLB62148588#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=20&type=product&tracking_id=02e8f73c-cf7e-4ffb-9c9a-2c022532f5e7&wid=MLB4371126535&sid=search,1299,1299,0,0
