Title,Price,OriginalPrice,Url,PriceDecimal,OriginalPriceDecimal,DiscountPercent,BatchGroup
"Smartphone Jovi Y29 256gb, 8+8gb Ram Turbo, Câmera 50mp, Snapdragon 685, Bateria 6500mah, Carregamento 44w - Marrom",989,1.876,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=IHFau9peMNX4g7lAwgkDmzxRcr6ayR2gDOA1IGQjIsZxJ%2Bc%2BFiiWRo6471RQYsxySTZeUkmYXWCGqphyCbD5MDtfyPygigsz%2BgYIbzxRPMfnqwo7r2UpAM0HElzFjKWQXinK7V3HyIBG475CNxQSzE4Nih6TdaZiJfECRsvmQr%2FTd2b8OvxmFYG9giSHCxpADAzPph4WLRCiOjbyCLrxG1DhPDs9Nj%2B8On3MJoMnQc4zhLEbPglNaleZ4wHXDAT7RzCMnP3qoe%2BQNlVhwyYJmw3JRtmdGDz2bmpz%2F7kvpw2DMnIa5D0HskIxQnHDh5YkV74KnkUXmZyLbpMBJdgfXZupl283dLIy2JgnTvGEobibFkdphoWru0%2FpBf8ggQA%2B3%2FzpoG60Td8Io70Xw%2B7OFCROosLx%2FdZTn1F%2BP646cHkk4U7DSrkhliT4J42VQrVQf3SmNS8QWbCm9arRU2dlNIQQmZB5udwCQw%2BlF2hCrdcN9MLBJxYnHDP44LWIoV662quu51bqglbvpkefLexPw9ZgLAFkG59DMUoo2qTBrMUECBxE6NmjEn6NY85wCflmjZeg0AzsAZe6uRBvg4NWiDGD1LNhkhjgUxt%2FTtt0vf%2BB9FbEJGLUbLINblWXJ1MYcryqLrNd7IZJE%2FJgLdAXQF5F76irI%2FDAowQRqrKqAUnLg6Wj4d4d2tHPomg5kf1BPdHX852p6OnE%2B6RLAT%2B%2BX1T9ji%2BPi0GydK2XJlprqBHz2%2FDSUvIGLSfDJEOnwK2BDoOZFQJfdRDzA8dZSNKtGbETikGNFDphzV%2FbtyxFZXxW6tmpQa2eO8VUtaW2JR9gSVHfEQliWAOebsT%2BKTlDFd4DdKL5lmb7r8KafZIemr5BFno98kc%2BWsOIJpussYIri9eKcfHlKTmhNQ1VVYip94jtzQXx7h4%2F6%2F9BcwV6P0%2FkRvMJb9xqqcDtubIVfTOnqbzD7%2BJ4Kxy0kDot9v2z1Jc0hiS4Wjg1lCiz94BhmBAI2OAVIlpy5hlWpkzJZjmTY3knBYZkPQowGvxZRI3lFZh2vCFfMQ%3D%3D&pdp_filters=item_id%3AMLB4445113203#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB52108988&backend_model=search-backend&be_origin=backend&search_layout=grid&position=4&type=pad&tracking_id=7ebb3011-72bd-4ca2-8d84-8aea7ec6b202&wid=MLB4445113203&sid=search,989,1876,47.28,1
"Smartphone Infinix Note 50X 5G 8GB RAM 256GB De Armazenamento Tela 6,78"" Polegadas HD+ 120HZ Câmera 50MP + Selfie 8MP Bateria 5200mah NFC, DTS Áudio - Cor Cinza",1.199,2.267,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=oMmOYU5z7j%2BJ7nKmR6%2BWBznY%2FAvQH%2B8FxIktRN83f2n8LTnouJq61Xr9KOY9Mtt4kayFqxpc5hKUXh6ibzHzaM4hbrVrmNd1nOnXKo%2BpgTtuKn3JnVyZNnOYhuJwpoQJ59j7iPOrDUsZKY4Qk7qU4TFQ%2BRZwuCJofAKIBtoITuo8R6QeXGODqxnEb854Fp05flvDDIfpI9fa90ocTjipYFiI7ZAC6THH1d8qbHNQkT5ajCSl2QAPFGlw18l1096RDZfS1WkzchyKFFBlDP1bYHAazjb8%2BhGu9BLSzB5cr9u9iHUwMqNYDeD%2BHZa9DQJhhUWyzdwo%2F5dHj%2B1YyRZYYutiWyihLWA4wMiH%2F%2BmcOakes7StTn%2B332EIS1tTXqUG6RogxTsyNTWHUsCkyy2WG%2FJTIZML3IcGf6CAnbFlLC0hIoV4WAmvQTJqmdwPi5oWB0nD87bmmVY8AvGDB5n2%2Bme8%2Fv2SI%2Fuz%2F%2B4zMmNzQTFcP4cdzsVBmNpjGx5oDoGb%2FvnGsaDrL19JM%2F2wuDMQZ6b5N9CP7QEPgqEIgQ2h3UDT0JCwnS%2BajVR8kWwOs1UY9ZWNQKFshmXl5S3qBly%2BL4J5g7Z2HBQ9TneWuKRAZjocXUvPkM5bA9xTdiPkEcv0JMG6K805JrejeXpu%2FxuG7FzGJOu2I88WYEdS%2FFzqhr0oavV%2BuvRBZtJ2MveseXp3DTUEY0xMMfx8RypjNXctDD2YN8zr3rHZdunHPYtlj0%2FCvh3Ksngoj4EKtW9PfJR71ReFWOyRGLQe5D4I4K08dzhN6FXxQoHp%2BxcfyTNb1OdI4xaL3bbRqCoUK6OhuhfT1L1JRoRmyv0pbrYEqsHyqn%2BkkSZ9Ir%2Bvc7ul1bQLZsE8z4lAZtGiEuhb7te1w1Xw%2B0Bi4Jx4qMFlIXNRIoihKiSr6d%2BvjylTqcVkTg8rkQ58iRVzi5clKoG0tuKuGRo0IOvdwSgwcHAf5frOEuAdR5Y6zo39zL9TdJbS%2F1pNFtS21sQWA8LB2mScMEdi4pgUBe0%2Fr0hxXCRxTyRL89QP6mms92Umed%2BEhC4fZaANYXWGRmHADNamqu2Hkj22D4HZ%2B%2BfNEeH8t8flJuY8Q%2Ffg8rlrvwA%3D&pdp_filters=item_id%3AMLB5957442486#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB61656785&backend_model=search-backend&be_origin=backend&search_layout=grid&position=25&type=pad&tracking_id=7ebb3011-72bd-4ca2-8d84-8aea7ec6b202&wid=MLB5957442486&sid=search,1199,2267,47.11,1
Smartphone Samsung Galaxy A36 5g 128gb 6gb Ram Câmera Tripla De Até 50mp Selfie De 12mp Ip67 Super Amoled 6.7'' Nfc Recursos Ai Android E Segurança Snapdragon - Preto,1.499,2.815,https://www.mercadolivre.com.br/smartphone-samsung-galaxy-a36-5g-128gb-6gb-ram-cmera-tripla-de-ate-50mp-selfie-de-12mp-ip67-super-amoled-67-nfc-recursos-ai-android-e-seguranca-snapdragon-preto/p/MLB47115842#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=8&type=product&tracking_id=7ebb3011-72bd-4ca2-8d84-8aea7ec6b202&wid=MLB6410679768&sid=search,1499,2815,46.75,1
