Title,Price
Smartphone Motorola Moto G35 5g - 256gb 12gb (4gb Ram+8gb Ram Boost) E Camera 50mp Com Ai Nfc Tela 6.7 Com Superbrilho - Coral - Vegan Leather,1.899
Smartphone Realme Note 70s 128gb 4gb Ram - Dourado,999
"Celular Samsung Galaxy A17 Com Ia, 256gb, 8gb Ram, Câm De 50mp, Tela De 6.7 , Nfc, Ip54 - Cinza",1.999
"Samsung Galaxy S25 5G, 256GB, 12GB, Câmera Tripla - Azul claro",5.999
Smartphone Motorola Edge 60 Neo 5G - 256GB 24GB (12GB RAM + 12GB Ram Boost) 50MP Sony Camera Moto AI e tela 1.5K Super HD - Latte,3.799
Smartphone Motorola Moto G05 256gb 4gb Ram Camera 50mp Vermelho,1.199
Smartphone Motorola Edge 60 Pro 5g - 256gb 24gb (12gb Ram+12gb Ram Boost) Tela Quad-curve Moto Ai 50mp Sony Camera Ultrarresistencia Militar Ip68 + Ip69 - Azul,4.499
Smartphone realme Note 70s 128gb 4gb Ram - Preto,999
Smartphone Motorola Moto G06 - 128gb 12gb (4gb Ram + 8gb Ram Boost) E Camera 50mp Com Ai Bateria De 5200 Mah Tela 6.9 - Laranja,999
Apple iPhone 15 (256 GB) - Preto - Distribuidor Autorizado,8.095
